learning_rate = 0.1
ml.tf_train(learning_rate=learning_rate, test=False, mode=mode, loops=1000)

percent test accuracy 0.524999976158, loop: 10
percent test accuracy 0.75, loop: 130
percent test accuracy 0.75, loop: 140
percent test accuracy 0.75, loop: 150
percent test accuracy 0.75, loop: 160
percent test accuracy 0.75, loop: 170
percent test accuracy 0.754999995232, loop: 180
percent test accuracy 0.754999995232, loop: 190
percent test accuracy 0.764999985695, loop: 200
percent test accuracy 0.754999995232, loop: 210
percent test accuracy 0.764999985695, loop: 220
percent test accuracy 0.745000004768, loop: 230
percent test accuracy 0.754999995232, loop: 240
percent test accuracy 0.754999995232, loop: 250
percent test accuracy 0.759999990463, loop: 260
percent test accuracy 0.764999985695, loop: 270
percent test accuracy 0.769999980927, loop: 280
percent test accuracy 0.764999985695, loop: 290
percent test accuracy 0.764999985695, loop: 300
percent test accuracy 0.769999980927, loop: 310
percent test accuracy 0.764999985695, loop: 320
percent test accuracy 0.769999980927, loop: 330
percent test accuracy 0.769999980927, loop: 340
percent test accuracy 0.75, loop: 350
percent test accuracy 0.769999980927, loop: 360
percent test accuracy 0.764999985695, loop: 370
percent test accuracy 0.769999980927, loop: 380
percent test accuracy 0.759999990463, loop: 390
percent test accuracy 0.774999976158, loop: 400
percent test accuracy 0.769999980927, loop: 410
percent test accuracy 0.764999985695, loop: 420
percent test accuracy 0.769999980927, loop: 430
percent test accuracy 0.774999976158, loop: 440
percent test accuracy 0.774999976158, loop: 450
percent test accuracy 0.769999980927, loop: 460
percent test accuracy 0.759999990463, loop: 470
percent test accuracy 0.785000026226, loop: 480
percent test accuracy 0.785000026226, loop: 490
percent test accuracy 0.795000016689, loop: 500
percent test accuracy 0.774999976158, loop: 510
percent test accuracy 0.785000026226, loop: 520
percent test accuracy 0.790000021458, loop: 530
percent test accuracy 0.795000016689, loop: 540
percent test accuracy 0.795000016689, loop: 550
percent test accuracy 0.77999997139, loop: 560
percent test accuracy 0.795000016689, loop: 570
percent test accuracy 0.795000016689, loop: 580
percent test accuracy 0.785000026226, loop: 590
percent test accuracy 0.790000021458, loop: 600
percent test accuracy 0.800000011921, loop: 610
percent test accuracy 0.795000016689, loop: 620
percent test accuracy 0.800000011921, loop: 630
percent test accuracy 0.795000016689, loop: 640
percent test accuracy 0.785000026226, loop: 650
percent test accuracy 0.77999997139, loop: 660
percent test accuracy 0.785000026226, loop: 670
percent test accuracy 0.790000021458, loop: 680
percent test accuracy 0.77999997139, loop: 690
percent test accuracy 0.774999976158, loop: 700
percent test accuracy 0.77999997139, loop: 710
percent test accuracy 0.790000021458, loop: 720
percent test accuracy 0.785000026226, loop: 730
percent test accuracy 0.790000021458, loop: 740
percent test accuracy 0.790000021458, loop: 750
percent test accuracy 0.795000016689, loop: 760
percent test accuracy 0.795000016689, loop: 770
percent test accuracy 0.795000016689, loop: 780
percent test accuracy 0.805000007153, loop: 790
percent test accuracy 0.785000026226, loop: 800
percent test accuracy 0.790000021458, loop: 810
percent test accuracy 0.75, loop: 820
percent test accuracy 0.790000021458, loop: 830
percent test accuracy 0.795000016689, loop: 840
percent test accuracy 0.805000007153, loop: 850
percent test accuracy 0.795000016689, loop: 860
percent test accuracy 0.795000016689, loop: 870
percent test accuracy 0.800000011921, loop: 880
percent test accuracy 0.785000026226, loop: 890
percent test accuracy 0.790000021458, loop: 900
percent test accuracy 0.790000021458, loop: 910
percent test accuracy 0.800000011921, loop: 920
percent test accuracy 0.795000016689, loop: 930
percent test accuracy 0.795000016689, loop: 940
percent test accuracy 0.800000011921, loop: 950
percent test accuracy 0.790000021458, loop: 960
percent test accuracy 0.795000016689, loop: 970
percent test accuracy 0.810000002384, loop: 980
percent test accuracy 0.805000007153, loop: 990
percent test accuracy 0.810000002384, loop: 1000
percent test accuracy 0.810000002384, loop: 1001


percent test accuracy 0.800000011921, loop: 10
percent test accuracy 0.805000007153, loop: 20
percent test accuracy 0.800000011921, loop: 30
percent test accuracy 0.790000021458, loop: 40
percent test accuracy 0.800000011921, loop: 50
percent test accuracy 0.795000016689, loop: 60
percent test accuracy 0.800000011921, loop: 70
percent test accuracy 0.795000016689, loop: 80
percent test accuracy 0.805000007153, loop: 90
percent test accuracy 0.774999976158, loop: 100
percent test accuracy 0.814999997616, loop: 110
percent test accuracy 0.805000007153, loop: 120
percent test accuracy 0.805000007153, loop: 130
percent test accuracy 0.800000011921, loop: 140
percent test accuracy 0.810000002384, loop: 150
percent test accuracy 0.805000007153, loop: 160
percent test accuracy 0.800000011921, loop: 170
percent test accuracy 0.790000021458, loop: 180
percent test accuracy 0.795000016689, loop: 190
percent test accuracy 0.785000026226, loop: 200
percent test accuracy 0.805000007153, loop: 210
percent test accuracy 0.805000007153, loop: 220
percent test accuracy 0.774999976158, loop: 230
percent test accuracy 0.810000002384, loop: 240
percent test accuracy 0.800000011921, loop: 250
percent test accuracy 0.810000002384, loop: 260
percent test accuracy 0.805000007153, loop: 270
percent test accuracy 0.810000002384, loop: 280
percent test accuracy 0.805000007153, loop: 290
percent test accuracy 0.795000016689, loop: 300
percent test accuracy 0.800000011921, loop: 310
percent test accuracy 0.790000021458, loop: 320
percent test accuracy 0.790000021458, loop: 330
percent test accuracy 0.805000007153, loop: 340
percent test accuracy 0.769999980927, loop: 350
percent test accuracy 0.795000016689, loop: 360
percent test accuracy 0.824999988079, loop: 370
percent test accuracy 0.805000007153, loop: 380
percent test accuracy 0.790000021458, loop: 390
percent test accuracy 0.805000007153, loop: 400
percent test accuracy 0.795000016689, loop: 410
percent test accuracy 0.805000007153, loop: 420
percent test accuracy 0.814999997616, loop: 430
percent test accuracy 0.805000007153, loop: 440
percent test accuracy 0.834999978542, loop: 450
percent test accuracy 0.810000002384, loop: 460
percent test accuracy 0.810000002384, loop: 470
percent test accuracy 0.805000007153, loop: 480
percent test accuracy 0.810000002384, loop: 490
percent test accuracy 0.819999992847, loop: 500
percent test accuracy 0.819999992847, loop: 510
percent test accuracy 0.810000002384, loop: 520
percent test accuracy 0.805000007153, loop: 530
percent test accuracy 0.795000016689, loop: 540
percent test accuracy 0.814999997616, loop: 550
percent test accuracy 0.795000016689, loop: 560
percent test accuracy 0.810000002384, loop: 570
percent test accuracy 0.819999992847, loop: 580
percent test accuracy 0.829999983311, loop: 590
percent test accuracy 0.819999992847, loop: 600
percent test accuracy 0.814999997616, loop: 610
percent test accuracy 0.814999997616, loop: 620
percent test accuracy 0.824999988079, loop: 630
percent test accuracy 0.810000002384, loop: 640
percent test accuracy 0.795000016689, loop: 650
percent test accuracy 0.814999997616, loop: 660
percent test accuracy 0.829999983311, loop: 670
percent test accuracy 0.824999988079, loop: 680
percent test accuracy 0.834999978542, loop: 690
percent test accuracy 0.800000011921, loop: 700
percent test accuracy 0.819999992847, loop: 710
percent test accuracy 0.810000002384, loop: 720
percent test accuracy 0.819999992847, loop: 730
percent test accuracy 0.839999973774, loop: 740
percent test accuracy 0.850000023842, loop: 750
percent test accuracy 0.810000002384, loop: 760
percent test accuracy 0.819999992847, loop: 770
percent test accuracy 0.829999983311, loop: 780
percent test accuracy 0.814999997616, loop: 790
percent test accuracy 0.829999983311, loop: 800
percent test accuracy 0.814999997616, loop: 810
percent test accuracy 0.834999978542, loop: 820
percent test accuracy 0.790000021458, loop: 830
percent test accuracy 0.810000002384, loop: 840
percent test accuracy 0.824999988079, loop: 850
percent test accuracy 0.829999983311, loop: 860
percent test accuracy 0.810000002384, loop: 870
percent test accuracy 0.834999978542, loop: 880
percent test accuracy 0.810000002384, loop: 890
percent test accuracy 0.814999997616, loop: 900
percent test accuracy 0.805000007153, loop: 910
percent test accuracy 0.814999997616, loop: 920
percent test accuracy 0.814999997616, loop: 930
percent test accuracy 0.814999997616, loop: 940
percent test accuracy 0.839999973774, loop: 950
percent test accuracy 0.834999978542, loop: 960
percent test accuracy 0.829999983311, loop: 970
percent test accuracy 0.834999978542, loop: 980
percent test accuracy 0.829999983311, loop: 990
percent test accuracy 0.814999997616, loop: 1000
percent test accuracy 0.814999997616, loop: 1001


percent test accuracy 0.824999988079, loop: 10
percent test accuracy 0.834999978542, loop: 20
percent test accuracy 0.829999983311, loop: 30
percent test accuracy 0.819999992847, loop: 40
percent test accuracy 0.814999997616, loop: 50
percent test accuracy 0.834999978542, loop: 60
percent test accuracy 0.834999978542, loop: 70
percent test accuracy 0.824999988079, loop: 80
percent test accuracy 0.834999978542, loop: 90
percent test accuracy 0.839999973774, loop: 100
percent test accuracy 0.829999983311, loop: 110
percent test accuracy 0.819999992847, loop: 120
percent test accuracy 0.824999988079, loop: 130
percent test accuracy 0.819999992847, loop: 140
percent test accuracy 0.824999988079, loop: 150
percent test accuracy 0.824999988079, loop: 160
percent test accuracy 0.84500002861, loop: 170
percent test accuracy 0.819999992847, loop: 180
percent test accuracy 0.805000007153, loop: 190
percent test accuracy 0.819999992847, loop: 200
percent test accuracy 0.819999992847, loop: 210
percent test accuracy 0.824999988079, loop: 220
percent test accuracy 0.824999988079, loop: 230
percent test accuracy 0.814999997616, loop: 240
percent test accuracy 0.819999992847, loop: 250
percent test accuracy 0.829999983311, loop: 260
percent test accuracy 0.834999978542, loop: 270
percent test accuracy 0.829999983311, loop: 280
percent test accuracy 0.834999978542, loop: 290
percent test accuracy 0.834999978542, loop: 300
percent test accuracy 0.855000019073, loop: 310
percent test accuracy 0.824999988079, loop: 320
percent test accuracy 0.839999973774, loop: 330
percent test accuracy 0.84500002861, loop: 340
percent test accuracy 0.839999973774, loop: 350
percent test accuracy 0.84500002861, loop: 360
percent test accuracy 0.834999978542, loop: 370
percent test accuracy 0.829999983311, loop: 380
percent test accuracy 0.819999992847, loop: 390
percent test accuracy 0.824999988079, loop: 400
percent test accuracy 0.819999992847, loop: 410
percent test accuracy 0.829999983311, loop: 420
percent test accuracy 0.824999988079, loop: 430
percent test accuracy 0.824999988079, loop: 440
percent test accuracy 0.839999973774, loop: 450
percent test accuracy 0.834999978542, loop: 460
percent test accuracy 0.824999988079, loop: 470
percent test accuracy 0.824999988079, loop: 480
percent test accuracy 0.850000023842, loop: 490
percent test accuracy 0.814999997616, loop: 500
percent test accuracy 0.814999997616, loop: 510
percent test accuracy 0.850000023842, loop: 520
percent test accuracy 0.814999997616, loop: 530
percent test accuracy 0.824999988079, loop: 540
percent test accuracy 0.824999988079, loop: 550
percent test accuracy 0.819999992847, loop: 560
percent test accuracy 0.855000019073, loop: 570
percent test accuracy 0.839999973774, loop: 580
percent test accuracy 0.829999983311, loop: 590
percent test accuracy 0.839999973774, loop: 600
percent test accuracy 0.814999997616, loop: 610
percent test accuracy 0.839999973774, loop: 620
percent test accuracy 0.839999973774, loop: 630
percent test accuracy 0.839999973774, loop: 640
percent test accuracy 0.834999978542, loop: 650
percent test accuracy 0.834999978542, loop: 660
percent test accuracy 0.834999978542, loop: 670
percent test accuracy 0.84500002861, loop: 680
percent test accuracy 0.829999983311, loop: 690
percent test accuracy 0.839999973774, loop: 700
percent test accuracy 0.834999978542, loop: 710
percent test accuracy 0.819999992847, loop: 720
percent test accuracy 0.829999983311, loop: 730
percent test accuracy 0.824999988079, loop: 740
percent test accuracy 0.814999997616, loop: 750
percent test accuracy 0.829999983311, loop: 760
percent test accuracy 0.850000023842, loop: 770
percent test accuracy 0.850000023842, loop: 780
percent test accuracy 0.834999978542, loop: 790
percent test accuracy 0.824999988079, loop: 800
percent test accuracy 0.814999997616, loop: 810
percent test accuracy 0.805000007153, loop: 820
percent test accuracy 0.805000007153, loop: 830
percent test accuracy 0.850000023842, loop: 840
percent test accuracy 0.84500002861, loop: 850
percent test accuracy 0.810000002384, loop: 860
percent test accuracy 0.810000002384, loop: 870
percent test accuracy 0.814999997616, loop: 880
percent test accuracy 0.800000011921, loop: 890
percent test accuracy 0.834999978542, loop: 900
percent test accuracy 0.84500002861, loop: 910
percent test accuracy 0.834999978542, loop: 920
percent test accuracy 0.834999978542, loop: 930
percent test accuracy 0.834999978542, loop: 940
percent test accuracy 0.829999983311, loop: 950
percent test accuracy 0.850000023842, loop: 960
percent test accuracy 0.850000023842, loop: 970
percent test accuracy 0.855000019073, loop: 980
percent test accuracy 0.834999978542, loop: 990
percent test accuracy 0.850000023842, loop: 1000
percent test accuracy 0.850000023842, loop: 1010
percent test accuracy 0.839999973774, loop: 1020
percent test accuracy 0.850000023842, loop: 1030
percent test accuracy 0.839999973774, loop: 1040
percent test accuracy 0.834999978542, loop: 1050
percent test accuracy 0.824999988079, loop: 1060
percent test accuracy 0.850000023842, loop: 1070
percent test accuracy 0.824999988079, loop: 1080
percent test accuracy 0.824999988079, loop: 1090
percent test accuracy 0.834999978542, loop: 1100
percent test accuracy 0.839999973774, loop: 1110
percent test accuracy 0.855000019073, loop: 1120
percent test accuracy 0.860000014305, loop: 1130
percent test accuracy 0.819999992847, loop: 1140
percent test accuracy 0.824999988079, loop: 1150
percent test accuracy 0.855000019073, loop: 1160
percent test accuracy 0.829999983311, loop: 1170
percent test accuracy 0.839999973774, loop: 1180
percent test accuracy 0.834999978542, loop: 1190
percent test accuracy 0.829999983311, loop: 1200
percent test accuracy 0.839999973774, loop: 1210
percent test accuracy 0.850000023842, loop: 1220
percent test accuracy 0.855000019073, loop: 1230
percent test accuracy 0.839999973774, loop: 1240
percent test accuracy 0.834999978542, loop: 1250
percent test accuracy 0.84500002861, loop: 1260
percent test accuracy 0.84500002861, loop: 1270
percent test accuracy 0.839999973774, loop: 1280
percent test accuracy 0.829999983311, loop: 1290
percent test accuracy 0.84500002861, loop: 1300
percent test accuracy 0.839999973774, loop: 1310
percent test accuracy 0.834999978542, loop: 1320
percent test accuracy 0.850000023842, loop: 1330
percent test accuracy 0.850000023842, loop: 1340
percent test accuracy 0.850000023842, loop: 1350
percent test accuracy 0.850000023842, loop: 1360
percent test accuracy 0.84500002861, loop: 1370
percent test accuracy 0.84500002861, loop: 1380
percent test accuracy 0.850000023842, loop: 1390
percent test accuracy 0.84500002861, loop: 1400
percent test accuracy 0.829999983311, loop: 1410
percent test accuracy 0.839999973774, loop: 1420
percent test accuracy 0.839999973774, loop: 1430
percent test accuracy 0.829999983311, loop: 1440
percent test accuracy 0.824999988079, loop: 1450
percent test accuracy 0.834999978542, loop: 1460
percent test accuracy 0.824999988079, loop: 1470
percent test accuracy 0.814999997616, loop: 1480
percent test accuracy 0.814999997616, loop: 1490
percent test accuracy 0.84500002861, loop: 1500
percent test accuracy 0.839999973774, loop: 1510
percent test accuracy 0.834999978542, loop: 1520
percent test accuracy 0.834999978542, loop: 1530
percent test accuracy 0.84500002861, loop: 1540
percent test accuracy 0.814999997616, loop: 1550
percent test accuracy 0.834999978542, loop: 1560
percent test accuracy 0.814999997616, loop: 1570
percent test accuracy 0.824999988079, loop: 1580
percent test accuracy 0.84500002861, loop: 1590
percent test accuracy 0.819999992847, loop: 1600
percent test accuracy 0.824999988079, loop: 1610
percent test accuracy 0.829999983311, loop: 1620
percent test accuracy 0.824999988079, loop: 1630
percent test accuracy 0.824999988079, loop: 1640
percent test accuracy 0.829999983311, loop: 1650
percent test accuracy 0.819999992847, loop: 1660
percent test accuracy 0.829999983311, loop: 1670
percent test accuracy 0.814999997616, loop: 1680
percent test accuracy 0.819999992847, loop: 1690
percent test accuracy 0.834999978542, loop: 1700
percent test accuracy 0.814999997616, loop: 1710
percent test accuracy 0.819999992847, loop: 1720
percent test accuracy 0.819999992847, loop: 1730
percent test accuracy 0.829999983311, loop: 1740
percent test accuracy 0.814999997616, loop: 1750
percent test accuracy 0.824999988079, loop: 1760
percent test accuracy 0.834999978542, loop: 1770
percent test accuracy 0.839999973774, loop: 1780
percent test accuracy 0.824999988079, loop: 1790
percent test accuracy 0.829999983311, loop: 1800
percent test accuracy 0.84500002861, loop: 1810
percent test accuracy 0.839999973774, loop: 1820
percent test accuracy 0.839999973774, loop: 1830
percent test accuracy 0.829999983311, loop: 1840
percent test accuracy 0.839999973774, loop: 1850
percent test accuracy 0.839999973774, loop: 1860
percent test accuracy 0.855000019073, loop: 1870
percent test accuracy 0.839999973774, loop: 1880
percent test accuracy 0.834999978542, loop: 1890
percent test accuracy 0.839999973774, loop: 1900
percent test accuracy 0.834999978542, loop: 1910
percent test accuracy 0.824999988079, loop: 1920
percent test accuracy 0.839999973774, loop: 1930
percent test accuracy 0.829999983311, loop: 1940
percent test accuracy 0.829999983311, loop: 1950
percent test accuracy 0.834999978542, loop: 1960
percent test accuracy 0.805000007153, loop: 1970
percent test accuracy 0.834999978542, loop: 1980
percent test accuracy 0.834999978542, loop: 1990
percent test accuracy 0.829999983311, loop: 2000
percent test accuracy 0.829999983311, loop: 2010
percent test accuracy 0.819999992847, loop: 2020
percent test accuracy 0.829999983311, loop: 2030
percent test accuracy 0.834999978542, loop: 2040
percent test accuracy 0.824999988079, loop: 2050
percent test accuracy 0.829999983311, loop: 2060
percent test accuracy 0.834999978542, loop: 2070
percent test accuracy 0.839999973774, loop: 2080
percent test accuracy 0.834999978542, loop: 2090
percent test accuracy 0.824999988079, loop: 2100
percent test accuracy 0.850000023842, loop: 2110
percent test accuracy 0.824999988079, loop: 2120
percent test accuracy 0.819999992847, loop: 2130
percent test accuracy 0.814999997616, loop: 2140
percent test accuracy 0.829999983311, loop: 2150
percent test accuracy 0.829999983311, loop: 2160
percent test accuracy 0.824999988079, loop: 2170
percent test accuracy 0.814999997616, loop: 2180
percent test accuracy 0.84500002861, loop: 2190
percent test accuracy 0.829999983311, loop: 2200
percent test accuracy 0.834999978542, loop: 2210
percent test accuracy 0.829999983311, loop: 2220
percent test accuracy 0.839999973774, loop: 2230
percent test accuracy 0.834999978542, loop: 2240
percent test accuracy 0.834999978542, loop: 2250
percent test accuracy 0.824999988079, loop: 2260
percent test accuracy 0.839999973774, loop: 2270
percent test accuracy 0.834999978542, loop: 2280
percent test accuracy 0.819999992847, loop: 2290
percent test accuracy 0.829999983311, loop: 2300
percent test accuracy 0.834999978542, loop: 2310
percent test accuracy 0.824999988079, loop: 2320
percent test accuracy 0.829999983311, loop: 2330
percent test accuracy 0.834999978542, loop: 2340
percent test accuracy 0.834999978542, loop: 2350
percent test accuracy 0.839999973774, loop: 2360
percent test accuracy 0.839999973774, loop: 2370
percent test accuracy 0.839999973774, loop: 2380
percent test accuracy 0.829999983311, loop: 2390
percent test accuracy 0.834999978542, loop: 2400
percent test accuracy 0.829999983311, loop: 2410
percent test accuracy 0.829999983311, loop: 2420
percent test accuracy 0.829999983311, loop: 2430
percent test accuracy 0.824999988079, loop: 2440
percent test accuracy 0.829999983311, loop: 2450
percent test accuracy 0.814999997616, loop: 2460
percent test accuracy 0.839999973774, loop: 2470
percent test accuracy 0.84500002861, loop: 2480
percent test accuracy 0.839999973774, loop: 2490
percent test accuracy 0.824999988079, loop: 2500
percent test accuracy 0.855000019073, loop: 2510
percent test accuracy 0.834999978542, loop: 2520
percent test accuracy 0.84500002861, loop: 2530
percent test accuracy 0.855000019073, loop: 2540
percent test accuracy 0.839999973774, loop: 2550
percent test accuracy 0.839999973774, loop: 2560
percent test accuracy 0.839999973774, loop: 2570
percent test accuracy 0.84500002861, loop: 2580
percent test accuracy 0.829999983311, loop: 2590
percent test accuracy 0.84500002861, loop: 2600
percent test accuracy 0.84500002861, loop: 2610
percent test accuracy 0.84500002861, loop: 2620
percent test accuracy 0.839999973774, loop: 2630
percent test accuracy 0.839999973774, loop: 2640
percent test accuracy 0.84500002861, loop: 2650
percent test accuracy 0.84500002861, loop: 2660
percent test accuracy 0.834999978542, loop: 2670
percent test accuracy 0.839999973774, loop: 2680
percent test accuracy 0.839999973774, loop: 2690
percent test accuracy 0.834999978542, loop: 2700
percent test accuracy 0.839999973774, loop: 2710
percent test accuracy 0.839999973774, loop: 2720
percent test accuracy 0.834999978542, loop: 2730
percent test accuracy 0.84500002861, loop: 2740
percent test accuracy 0.839999973774, loop: 2750
percent test accuracy 0.824999988079, loop: 2760
percent test accuracy 0.834999978542, loop: 2770
percent test accuracy 0.834999978542, loop: 2780
percent test accuracy 0.834999978542, loop: 2790
percent test accuracy 0.834999978542, loop: 2800
percent test accuracy 0.84500002861, loop: 2810
percent test accuracy 0.829999983311, loop: 2820
percent test accuracy 0.834999978542, loop: 2830
percent test accuracy 0.84500002861, loop: 2840
percent test accuracy 0.839999973774, loop: 2850
percent test accuracy 0.84500002861, loop: 2860
percent test accuracy 0.84500002861, loop: 2870
percent test accuracy 0.839999973774, loop: 2880
percent test accuracy 0.84500002861, loop: 2890
percent test accuracy 0.84500002861, loop: 2900
percent test accuracy 0.824999988079, loop: 2910
percent test accuracy 0.824999988079, loop: 2920
percent test accuracy 0.829999983311, loop: 2930
percent test accuracy 0.824999988079, loop: 2940
percent test accuracy 0.84500002861, loop: 2950
percent test accuracy 0.834999978542, loop: 2960
percent test accuracy 0.819999992847, loop: 2970
percent test accuracy 0.829999983311, loop: 2980
percent test accuracy 0.819999992847, loop: 2990
percent test accuracy 0.834999978542, loop: 3000
